Level0	Level1	Level2	IndexCode	Delegate	Range	Help tip
Text	Location	Y	TextLocationY	Text	N/A	N/A
Text	Location	Anchor from	TextLocationAnchorFrom	Text	N/A	N/A
Text	Location	Anchor to	TextLocationAnchorTo	Text	N/A	N/A
Text	Location	Orientation	TextLocationOrientation	Dial	N/A	N/A
Shape	Type	N/A	ShapeType	Combobox	N/A	N/A
Shape	Locaton	Pt 1 X	ShapeLocatonPt 1 X	Text	N/A	N/A
Shape	Locaton	Pt 1 Y	ShapeLocatonPt 1 Y	Text	N/A	N/A
Shape	Locaton	Pt 2 X	ShapeLocatonPt 2 X	Text	N/A	N/A
Shape	Locaton	Pt 2 Y	ShapeLocatonPt 2 Y	Text	N/A	N/A
Shape	Location	Anchor from	ShapeLocationAnchorFrom	Text	N/A	N/A
Shape	Location	Anchor to	ShapeLocationAnchorTo	Text	N/A	N/A
Shape	Line	Type	ShapeLineType	Combobox	N/A	N/A
Shape	Line	Width	ShapeLineWidth	Spinbox	N/A	N/A
Shape	Line	Color	ShapeLineColor	Color picker	N/A	N/A
Shape	Line	Opacity	ShapeLineOpacity	Spinbox	N/A	N/A
Shape	Line	Texture	ShapeLineTexture	Combobox	N/A	N/A
Shape	Halo	Size	ShapeHaloSize	Spinbox	N/A	N/A
Shape	Halo	Color	ShapeHaloColor	Color picker	N/A	N/A
Shape	Halo	Opacity	ShapeHaloOpacity	Spinbox	N/A	N/A
Shape	Halo	Fade	ShapeHaloFade	Spinbox	N/A	N/A
Shape	Shadow	Opacity	ShapeShadowOpacity	Spinbox	N/A	N/A
Shape	Shadow	Blend mode	ShapeShadowBlendMode	Combobox	N/A	N/A
Shape	Shadow	Distance	ShapeShadowDistance	Spinbox	N/A	N/A
Shape	Shadow	Color	ShapeShadowColor	Color picker	N/A	N/A
Shape	Fill	Color	ShapeFillColor	Color picker	N/A	N/A
Shape	Fill	Opacity	ShapeFillOpacity	Spinbox	N/A	N/A
Shape	Fill	Texture	ShapeFillTexture	Combobox	N/A	N/A
Graphic	File	N/A	GraphicFile	Text	N/A	N/A
Graphic	Opacity	N/A	GraphicOpacity	Spinbox	N/A	N/A
Graphic	Blend mode	N/A	GraphicBlendMode	Combobox	N/A	N/A
Graphic	Location	X	GraphicLocationX	Text	N/A	N/A
Graphic	Location	Y	GraphicLocationY	Text	N/A	N/A
Graphic	Location	Anchor from	GraphicLocationAnchorFrom	Text	N/A	N/A
Graphic	Location	Anchor to	GraphicLocationAnchorTo	Text	N/A	N/A
Graphic	Location	Orientation	GraphicLocationOrientation	Dial	N/A	N/A
